ID,Año_prod,T/C,Temporada,Capitulo,Destino,Fec_Estreno,Dia,Mes,Año,Dia_Sem,Estreno_RR,Franja,H_ini,H_fin,Dur,Tandas,RH_C13,SH_C13,RC_C13,SC_C13,RH_TVN,SH_TVN,RC_TVN,SC_TVN,RH_MEGA,SH_MEGA,RC_MEGA,SC_MEGA,RH_CHV,SH_CHV,RC_CHV,SC_CHV,RH_TVPAGO,SH_TVPAGO,RC_TVPAGO,SC_TVPAGO,RH_ENC,SH_ENC,RC_ENC,SC_ENC,PosH_C13,PosC_C13,Comentario,Region,Zona,Fecha
34,2014.0,210,2,10.0,Arica,21-2-2015,21,2,2015,6,RR 1,Off Prime PM,14:31,15:52,1:21:00,3,7.5,17.9,2.1,13.0,3.5,8.3,1.4,8.3,5.4,12.8,1.2,7.1,6.5,15.6,2.9,17.5,20.1,47.8,7.8,47.6,42.1,100,16.5,100,1,2,,Arica y Parinacota,Norte,2015-02-21
35,2014.0,211,2,11.0,Cajón del Maipo,28-2-2015,28,2,2015,6,RR 1,Off Prime PM,14:32,15:43,1:11:00,2,6.7,16.0,2.4,14.6,3.1,7.4,0.7,4.5,4.7,11.1,1.5,9.2,9.3,22.0,3.6,21.9,19.5,46.3,7.7,47.0,42.1,100,16.3,100,2,2,,Metropolitana,Centro,2015-02-28
37,2014.0,29,2,9.0,Picadas de la Ruta 5 sur,14-3-2015,14,3,2015,6,RR 1,Off Prime PM,14:31,15:48,1:17:00,3,6.7,14.1,2.6,13.5,4.0,8.5,1.5,7.4,5.1,10.7,1.6,8.1,6.2,13.1,1.5,7.5,24.8,52.4,11.5,58.7,47.4,100,19.6,100,1,1,,O'Higgins,Centro,2015-03-14
38,2014.0,212,2,12.0,Punta Arenas,21-3-2015,21,3,2015,6,RR 1,Off Prime PM,14:29,15:43,1:14:00,2,8.9,20.0,3.3,19.2,2.8,6.2,1.1,6.5,5.1,11.6,2.0,11.6,5.7,12.8,1.3,7.8,22.3,50.2,8.3,48.9,44.4,100,17.1,100,1,1,,Magallanes,Sur,2015-03-21
39,2014.0,213,2,13.0,Chillán,28-3-2015,28,3,2015,6,RR 1,Off Prime PM,14:31,15:32,1:01:00,3,6.7,14.9,2.7,16.0,2.4,5.4,0.7,4.1,9.0,20.1,2.8,16.7,5.2,11.7,1.8,11.0,21.8,48.7,8.1,49.0,44.7,100,16.6,100,2,2,,Ñuble,Centro,2015-03-28
41,2015.0,31,3,1.0,Coyhaique 1 (Malebo),11-4-2015,11,4,2015,6,Estreno,Off Prime PM,14:33,15:42,1:09:00,3,6.2,13.8,2.5,17.6,3.2,7.0,0.5,3.3,6.5,14.5,1.1,7.9,6.7,15.0,1.3,9.1,23.0,51.0,8.2,57.4,45.1,100,14.2,100,3,1,,Aysén,Sur,2015-04-11
42,2015.0,32,3,2.0,Pichilemu,18-4-2015,18,4,2015,6,Estreno,Off Prime PM,14:35,16:01,1:26:00,4,7.5,17.5,2.7,15.7,1.7,4.1,0.6,3.6,5.0,11.6,0.9,5.5,5.1,12.0,1.9,11.3,23.5,54.8,10.2,60.0,42.9,100,17.0,100,1,1,,O'Higgins,Centro,2015-04-18
43,2015.0,33,3,3.0,Romeral,25-4-2015,25,4,2015,6,Estreno,Off Prime PM,14:30,15:46,1:16:00,3,7.5,16.8,2.0,13.0,2.7,6.0,0.5,3.0,5.6,12.7,1.6,10.4,6.4,14.3,2.2,14.2,22.7,51.2,8.4,54.7,44.4,100,15.3,100,1,2,,Maule,Centro,2015-04-25
44,2015.0,34,3,4.0,Puerto Natales,2-5-2015,2,5,2015,6,Estreno,Off Prime PM,14:33,15:41,1:08:00,3,6.9,17.2,2.0,13.3,2.5,6.3,1.1,7.2,4.5,11.1,1.5,10.0,5.9,14.6,1.9,13.2,21.3,52.7,8.1,54.7,40.3,100,14.8,100,1,1,,Magallanes,Sur,2015-05-02
45,2015.0,35,3,5.0,Torres del Paine 2015,9-5-2015,9,5,2015,6,Estreno,Off Prime PM,14:31,15:41,1:10:00,3,7.3,16.6,2.6,15.1,2.6,5.8,0.5,3.1,4.2,9.7,1.4,8.1,5.2,11.8,2.2,12.4,25.8,58.9,10.1,58.2,43.8,100,17.4,100,1,1,,Magallanes,Sur,2015-05-09
